Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
33,1,3.97,4.02,1.01,0.41,0.38,0.93,1.74,1.76,1.01,1.15,1.17,1.02,0.33,0.33,1.00,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
34,1,6.51,6.54,1.00,0.79,0.75,0.95,2.72,2.76,1.01,1.58,1.61,1.01,0.71,0.72,1.01,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
35,1,8.92,8.92,1.00,1.07,1.13,1.06,3.70,3.73,1.01,2.00,1.87,0.94,1.06,1.08,1.02,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
36,1,4.06,3.94,0.97,0.37,0.37,1.00,1.79,1.76,0.98,1.19,1.13,0.95,0.36,0.34,0.96,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
37,1,4.00,3.96,0.99,0.39,0.40,1.04,1.76,1.72,0.98,1.15,1.15,1.01,0.36,0.32,0.90,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
38,1,6.45,6.41,0.99,0.73,0.75,1.03,2.69,2.66,0.99,1.59,1.57,0.98,0.70,0.72,1.02,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
39,1,6.38,6.44,1.01,0.74,0.71,0.96,2.70,2.75,1.02,1.49,1.58,1.06,0.73,0.69,0.95,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
40,1,3.94,3.86,0.98,0.41,0.37,0.91,1.69,1.60,0.95,1.16,1.16,1.00,0.33,0.33,1.01,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
41,1,8.67,8.92,1.03,1.05,1.18,1.13,3.62,3.63,1.00,1.92,1.97,1.03,1.01,1.06,1.05,1,1,1.00,3,3,1.00,3,3,1.00,7,7,1.00,C,C
42,1,6.58,6.42,0.98,0.72,0.73,1.01,2.70,2.68,0.99,1.67,1.57,0.94,0.72,0.72,0.99,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
43,1,3.98,4.05,1.02,0.40,0.37,0.92,1.74,1.74,1.00,1.12,1.20,1.07,0.36,0.35,0.97,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
44,1,4.03,4.03,1.00,0.37,0.40,1.07,1.73,1.78,1.03,1.20,1.17,0.97,0.34,0.34,0.99,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
45,1,6.43,6.43,1.00,0.75,0.73,0.98,2.70,2.71,1.00,1.56,1.55,0.99,0.72,0.70,0.97,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
46,1,6.35,6.54,1.03,0.74,0.75,1.01,2.61,2.71,1.04,1.57,1.64,1.04,0.71,0.72,1.03,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
47,1,3.97,3.94,0.99,0.39,0.36,0.92,1.69,1.74,1.03,1.22,1.13,0.92,0.33,0.36,1.10,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
48,1,4.10,4.07,0.99,0.39,0.37,0.96,1.79,1.84,1.03,1.18,1.13,0.95,0.37,0.39,1.04,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
49,1,6.49,6.56,1.01,0.76,0.76,1.00,2.72,2.68,0.98,1.54,1.63,1.06,0.72,0.74,1.04,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
50,1,4.02,3.98,0.99,0.37,0.39,1.05,1.72,1.70,0.99,1.19,1.13,0.95,0.39,0.39,1.00,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
51,1,3.90,4.10,1.05,0.38,0.39,1.02,1.69,1.79,1.06,1.12,1.20,1.08,0.34,0.35,1.03,1,1,1.00,1,1,1.00,1,1,1.00,2,2,1.00,C,C
52,1,6.39,6.43,1.01,0.79,0.80,1.01,2.63,2.64,1.00,1.52,1.54,1.01,0.70,0.70,1.00,1,1,1.00,2,2,1.00,2,2,1.00,5,5,1.00,C,C
