Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Refined Planning Time - zooming,Refined Planning Time - non_zooming,Refined Planning Time - Ratio,Abstract Planning Time - zooming,Abstract Planning Time - non_zooming,Abstract Planning Time - Ratio,Diagnosing - zooming,Diagnosing - non_zooming,Diagnosing - Ratio,Inferring -zooming, Inferring - non_zooming,Inferring - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
43,8,185.00,,,27.62,,,10.28,,,4.50,,,2.78,,,1,,,5,,,11,,,51,,,C,
44,8,180.16,,,27.86,,,8.19,,,3.76,,,1.98,,,1,,,4,,,14,,,51,,,C,
45,8,80.99,,,10.86,,,8.13,,,3.81,,,2.06,,,1,,,4,,,4,,,21,,,C,
46,8,114.13,,,14.93,,,5.43,,,3.05,,,1.48,,,1,,,3,,,13,,,33,,,C,
47,8,154.31,,,23.71,,,8.04,,,3.95,,,2.24,,,1,,,4,,,14,,,43,,,C,
48,8,140.33,,,12.53,,,10.06,,,4.69,,,2.37,,,1,,,5,,,9,,,41,,,C,
49,8,103.47,,,13.28,,,10.28,,,4.62,,,2.52,,,1,,,5,,,6,,,27,,,C,
50,8,104.89,,,12.91,,,8.17,,,3.76,,,1.99,,,1,,,4,,,7,,,29,,,C,
51,8,151.40,,,23.37,,,10.27,,,4.66,,,2.68,,,1,,,5,,,8,,,41,,,C,
52,8,177.47,,,40.62,,,5.40,,,2.94,,,1.74,,,1,,,3,,,14,,,47,,,C,
53,8,125.37,,,15.39,,,5.40,,,2.93,,,1.45,,,1,,,3,,,12,,,37,,,C,
54,8,147.09,,,17.34,,,10.37,,,4.51,,,2.41,,,1,,,5,,,7,,,41,,,C,
55,8,254.37,,,31.16,,,17.29,,,7.10,,,3.84,,,1,,,8,,,14,,,71,,,C,
56,8,208.90,,,28.10,,,14.74,,,6.33,,,3.76,,,1,,,7,,,11,,,57,,,C,
57,8,248.43,,,34.73,,,14.72,,,6.31,,,3.98,,,1,,,7,,,14,,,69,,,C,
58,8,150.15,,,25.98,,,8.11,,,3.66,,,1.91,,,1,,,4,,,11,,,41,,,C,
59,8,133.30,,,17.89,,,5.32,,,2.87,,,1.48,,,1,,,3,,,12,,,39,,,C,
60,8,171.33,,,39.15,,,5.32,,,3.02,,,1.79,,,1,,,3,,,14,,,45,,,C,
61,8,247.89,,,24.20,,,17.36,,,7.13,,,3.83,,,1,,,8,,,17,,,71,,,C,
62,8,276.81,,,34.72,,,22.75,,,9.07,,,4.68,,,1,,,10,,,14,,,75,,,C,
63,8,125.01,,,16.77,,,7.98,,,3.80,,,2.18,,,1,,,4,,,7,,,35,,,C,
64,8,71.01,,,6.10,,,5.25,,,2.91,,,1.58,,,1,,,3,,,5,,,21,,,C,
65,8,75.86,,,6.06,,,8.06,,,3.78,,,1.98,,,1,,,4,,,4,,,21,,,C,
66,8,69.65,,,4.67,,,8.10,,,3.70,,,1.75,,,1,,,4,,,5,,,19,,,C,
67,8,198.97,,,26.32,,,10.31,,,4.57,,,2.46,,,1,,,5,,,11,,,57,,,C,
68,8,220.01,,,23.06,,,14.84,,,6.17,,,3.30,,,1,,,7,,,11,,,63,,,C,
69,8,191.18,,,29.85,,,10.47,,,4.35,,,2.42,,,1,,,5,,,17,,,53,,,C,
70,8,158.29,,,31.51,,,5.15,,,2.99,,,1.72,,,1,,,3,,,11,,,43,,,C,
71,8,245.93,,,40.54,,,12.62,,,5.38,,,3.44,,,1,,,6,,,16,,,67,,,C,
72,8,166.62,,,19.54,,,7.94,,,3.70,,,1.89,,,1,,,4,,,15,,,49,,,C,
73,8,175.30,,,24.94,,,10.51,,,4.50,,,2.46,,,1,,,5,,,14,,,49,,,C,
74,8,291.17,,,40.58,,,17.20,,,7.06,,,3.90,,,1,,,8,,,22,,,81,,,C,
75,8,131.38,,,17.12,,,7.97,,,3.72,,,2.17,,,1,,,4,,,9,,,37,,,C,
76,8,215.95,,,36.81,,,10.31,,,4.69,,,2.90,,,1,,,5,,,14,,,59,,,C,
77,8,99.79,,,10.62,,,12.70,,,5.49,,,3.01,,,1,,,6,,,6,,,25,,,C,
78,8,146.81,,,16.15,,,14.95,,,6.24,,,3.65,,,1,,,7,,,7,,,39,,,C,
79,8,143.89,,,10.30,,,12.60,,,5.39,,,3.19,,,1,,,6,,,7,,,41,,,C,
80,8,227.87,,,39.17,,,12.45,,,5.40,,,3.32,,,1,,,6,,,15,,,61,,,C,
81,8,212.83,,,35.44,,,12.58,,,5.48,,,3.32,,,1,,,6,,,13,,,57,,,C,
82,8,170.52,,,23.29,,,14.89,,,6.22,,,3.33,,,1,,,7,,,7,,,45,,,C,
83,8,118.74,,,16.09,,,7.99,,,3.76,,,2.12,,,1,,,4,,,8,,,33,,,C,
84,8,254.48,,,27.69,,,17.25,,,7.10,,,3.87,,,1,,,8,,,15,,,73,,,C,
85,8,35.38,,,2.94,,,5.32,,,2.91,,,1.38,,,1,,,3,,,3,,,9,,,C,
86,8,62.51,,,10.47,,,3.96,,,2.27,,,0.99,,,1,,,2,,,7,,,17,,,C,
87,8,191.11,,,21.22,,,14.97,,,6.32,,,3.75,,,1,,,7,,,12,,,53,,,C,
88,8,180.08,,,33.57,,,8.14,,,3.83,,,2.34,,,1,,,4,,,10,,,45,,,C,
89,8,86.29,,,16.97,,,7.87,,,3.70,,,2.02,,,1,,,4,,,5,,,21,,,C,
90,8,153.70,,,32.61,,,12.78,,,5.43,,,3.22,,,1,,,6,,,6,,,37,,,C,
91,8,276.48,,,33.90,,,19.81,,,8.00,,,4.92,,,1,,,9,,,14,,,77,,,C,
92,8,236.91,,,62.43,,,7.95,,,3.81,,,2.25,,,1,,,4,,,19,,,59,,,C,
93,8,197.19,,,48.97,,,5.33,,,3.02,,,1.75,,,1,,,3,,,17,,,51,,,C,
94,8,136.79,,,21.52,,,5.28,,,3.05,,,1.70,,,1,,,3,,,13,,,39,,,C,
95,8,206.33,,,33.96,,,10.37,,,4.54,,,2.79,,,1,,,5,,,12,,,57,,,C,
96,8,151.38,,,22.29,,,10.49,,,4.58,,,2.68,,,1,,,5,,,8,,,41,,,C,
97,8,226.39,,,48.45,,,10.23,,,4.40,,,2.84,,,1,,,5,,,18,,,59,,,C,
98,8,113.74,,,10.33,,,7.85,,,3.82,,,1.97,,,1,,,4,,,7,,,33,,,C,
99,8,307.37,,,71.95,,,15.17,,,6.18,,,3.89,,,1,,,7,,,21,,,77,,,C,
