Trial Number,Complexity Level,Run-time zooming,Planning Time - zooming,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Run-time non_zooming,Planning Time non_zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
147,2,10.19,5.89,0.45,1,5,3,18,C,14.38,9.59,0.55,1,5,3,18,C
148,2,10.12,5.03,0.38,1,3,3,15,C,12.64,6.99,0.56,1,3,3,15,C
149,2,6.97,3.82,0.35,1,2,2,9,C,8.88,5.27,0.55,1,2,2,9,C
150,2,15.42,7.74,0.47,1,6,4,30,C,20.02,11.53,0.68,1,6,4,30,C
151,2,6.19,3.94,0.34,1,2,2,5,C,7.81,5.20,0.47,1,2,2,5,C
152,2,10.33,5.50,0.37,1,4,3,15,C,14.15,8.61,0.61,1,4,3,15,C
153,2,15.12,7.76,0.47,1,6,4,28,C,20.01,11.82,0.56,1,6,4,28,C
154,2,10.56,5.41,0.48,1,4,3,17,C,13.72,7.81,0.69,1,4,3,17,C
155,2,8.79,4.74,0.38,1,4,2,20,C,13.25,8.70,0.59,1,4,2,20,C
156,2,6.07,3.82,0.35,1,2,2,5,C,7.94,5.29,0.49,1,2,2,5,C
157,2,13.19,6.96,0.38,1,4,4,17,C,17.58,10.53,0.57,1,4,4,17,C
158,2,6.98,4.31,0.35,1,3,2,9,C,9.39,6.22,0.58,1,3,2,9,C
159,2,9.73,5.39,0.46,1,4,3,13,C,12.89,7.96,0.58,1,4,3,13,C
160,2,10.44,5.62,0.40,1,4,3,15,C,13.97,8.58,0.61,1,4,3,15,C
161,2,15.69,7.87,0.43,1,6,4,30,C,21.92,13.43,0.67,1,6,4,30,C
162,2,7.81,4.67,0.38,1,4,2,16,C,10.83,7.30,0.66,1,4,2,16,C
163,2,9.15,4.95,0.37,1,3,3,11,C,11.63,6.99,0.54,1,3,3,11,C
164,2,11.26,5.61,0.35,1,4,3,19,C,16.92,9.62,0.70,1,5,3,28,C
165,2,8.31,4.78,0.38,1,4,2,18,C,11.91,7.93,0.63,1,4,2,18,C
166,2,9.87,5.53,0.46,1,4,3,13,C,12.52,7.67,0.55,1,4,3,13,C
167,2,10.31,5.60,0.46,1,4,3,15,C,14.24,8.82,0.63,1,4,3,15,C
168,2,14.81,7.44,0.49,1,5,4,23,C,19.06,10.93,0.71,1,5,4,23,C
169,2,16.09,7.98,0.46,1,6,4,32,C,21.00,12.00,0.63,1,6,4,32,C
170,2,16.87,8.47,0.50,1,5,5,23,C,21.44,12.02,0.76,1,5,5,23,C
171,2,10.68,5.96,0.45,1,5,3,20,C,14.86,9.51,0.68,1,5,3,20,C
172,2,10.14,5.31,0.46,1,4,3,15,C,13.30,7.97,0.65,1,4,3,15,C
173,2,9.70,4.94,0.36,1,3,3,13,C,13.04,7.46,0.54,1,3,3,13,C
174,2,9.50,5.17,0.39,1,3,3,11,C,11.73,6.93,0.55,1,3,3,11,C
175,2,19.63,9.34,0.47,1,7,5,38,C,25.33,13.98,0.78,1,7,5,38,C
176,2,8.06,4.38,0.38,1,3,2,13,C,12.42,7.46,0.67,1,4,2,22,C
177,2,16.10,7.83,0.52,1,6,4,32,C,20.49,11.38,0.72,1,6,4,32,C
178,2,15.18,7.78,0.45,1,6,4,28,C,20.10,11.92,0.57,1,6,4,28,C
179,2,6.56,3.89,0.35,1,2,2,7,C,8.51,5.33,0.50,1,2,2,7,C
180,2,15.73,7.84,0.48,1,6,4,30,C,21.05,12.59,0.70,1,6,4,30,C
181,2,10.61,5.44,0.49,1,4,3,17,C,13.99,7.97,0.72,1,4,3,17,C
182,2,8.66,4.71,0.38,1,4,2,20,C,11.48,7.12,0.59,1,4,2,20,C
183,2,13.73,7.36,0.47,1,5,4,19,C,17.66,10.39,0.63,1,5,4,19,C
184,2,11.04,5.83,0.51,1,5,3,22,C,15.39,9.61,0.66,1,5,3,22,C
185,2,14.54,7.37,0.48,1,5,4,23,C,19.49,11.33,0.72,1,5,4,23,C
186,2,9.61,5.38,0.47,1,4,3,13,C,12.69,7.79,0.58,1,4,3,13,C
187,2,13.20,6.99,0.39,1,4,4,17,C,16.96,9.95,0.56,1,4,4,17,C
188,2,8.83,4.74,0.37,1,4,2,20,C,11.90,7.38,0.56,1,4,2,20,C
189,2,10.56,5.41,0.48,1,4,3,17,C,13.69,7.88,0.66,1,4,3,17,C
190,2,8.86,4.81,0.39,1,4,2,20,C,11.95,7.47,0.60,1,4,2,20,C
191,2,10.63,5.45,0.50,1,4,3,17,C,13.97,8.02,0.67,1,4,3,17,C
192,2,11.25,6.00,0.37,1,5,3,22,C,15.39,9.56,0.55,1,5,3,22,C
193,2,10.56,5.41,0.35,1,4,3,17,C,15.25,9.29,0.57,1,4,3,17,C
194,2,7.57,4.32,0.38,1,3,2,11,C,9.95,6.23,0.58,1,3,2,11,C
195,2,17.20,8.81,0.45,1,6,5,25,C,22.36,12.87,0.61,1,6,5,25,C
196,2,11.35,6.06,0.50,1,5,3,22,C,14.86,9.01,0.67,1,5,3,22,C
197,2,7.92,4.82,0.37,1,4,2,16,C,10.82,7.26,0.54,1,4,2,16,C
198,2,6.49,3.84,0.35,1,2,2,7,C,9.12,5.98,0.50,1,2,2,7,C
199,2,12.01,5.87,0.40,1,5,3,26,C,16.23,9.44,0.59,1,5,3,26,C
200,2,7.12,3.89,0.38,1,2,2,9,C,8.85,5.32,0.53,1,2,2,9,C
