Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Ratio Run Time,Planning Time - zooming,Planning Time non_zooming,Ratio Planning time,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
78,2,11.61,16.35,1.4082687339,6.19,10.24,1.6542810985,0.53,1,5,3,22,C,0.77,1,5,3,22,C
79,2,18.93,25.13,1.3275224511,9.59,14.42,1.503649635,0.46,1,7,5,34,C,0.64,1,7,5,34,C
80,2,8.87,10.91,1.229988726,5.36,6.97,1.3003731343,0.44,1,3,3,7,C,0.54,1,3,3,7,C
81,2,15.74,23.73,1.5076238882,7.95,14.47,1.8201257862,0.44,1,6,4,30,C,0.67,1,6,4,30,C
82,2,10.07,12.82,1.2730883813,5.55,7.99,1.4396396396,0.43,1,3,3,11,C,0.6,1,3,3,11,C
83,2,10.21,15.38,1.5063663075,5.55,9.09,1.6378378378,0.47,1,4,3,15,C,0.7,1,4,3,15,C
84,2,9.54,12.86,1.3480083857,5.17,8.14,1.5744680851,0.47,1,4,2,20,C,0.68,1,4,2,20,C
85,2,7.56,10.42,1.3783068783,4.19,6.47,1.5441527446,0.34,1,2,2,9,C,0.53,1,2,2,9,C
86,2,7.05,8.99,1.275177305,4.13,5.64,1.3656174334,0.39,1,2,2,7,C,0.59,1,2,2,7,C
87,2,8.48,14.95,1.7629716981,4.66,8.87,1.9034334764,0.39,1,3,2,13,C,0.82,1,4,2,22,C
88,2,12.92,14.91,1.1540247678,5.96,8.18,1.3724832215,0.43,1,3,3,15,C,0.63,1,3,3,15,C
89,2,16.02,19.43,1.2128589263,8.77,11.74,1.338654504,0.49,1,5,4,19,C,0.78,1,5,4,19,C
90,2,11.1,13.37,1.2045045045,5.99,8.28,1.3823038397,0.54,1,3,3,11,C,0.52,1,3,3,11,C
91,2,10.83,15.53,1.4339796861,5.5,9.43,1.7145454545,0.37,1,4,3,17,C,0.54,1,4,3,17,C
92,2,9.96,14.46,1.4518072289,5.37,9.05,1.6852886406,0.35,1,3,3,11,C,0.53,1,3,3,11,C
93,2,9.99,13.15,1.3163163163,5.55,8.15,1.4684684685,0.5,1,4,3,13,C,0.6,1,4,3,13,C
94,2,8.16,10.78,1.3210784314,4.69,6.95,1.4818763326,0.42,1,3,2,11,C,0.59,1,3,2,11,C
95,2,7.04,9.09,1.2911931818,3.87,5.49,1.4186046512,0.35,1,2,2,9,C,0.5,1,2,2,9,C
96,2,16.37,20.83,1.2724496029,8.36,11.95,1.4294258373,0.46,1,5,5,21,C,0.69,1,5,5,21,C
97,2,20.34,25.37,1.2472959685,9.67,13.98,1.4457083764,0.53,1,7,5,38,C,0.73,1,7,5,38,C
98,2,11.54,16.6,1.43847487,5.98,9.88,1.652173913,0.48,1,4,3,17,C,0.69,1,4,3,17,C
99,2,12.57,18.29,1.4550517104,6.13,10.36,1.6900489396,0.43,1,4,3,19,C,0.62,1,5,3,28,C
100,2,17.53,21.57,1.230462065,8.41,12.46,1.48156956,0.6,1,6,4,32,C,0.7,1,6,4,32,C
101,2,15.1,20.06,1.3284768212,7.88,11.97,1.519035533,0.45,1,6,4,28,C,0.62,1,6,4,28,C
102,2,11.44,15.79,1.3802447552,6.19,9.91,1.6009693053,0.44,1,5,3,22,C,0.62,1,5,3,22,C
103,2,8.88,11.28,1.2702702703,5.07,7,1.3806706114,0.36,1,3,3,9,C,0.53,1,3,3,9,C
104,2,8.93,12.48,1.3975363942,4.78,7.88,1.6485355649,0.38,1,4,2,20,C,0.63,1,4,2,20,C
105,2,9.79,12.83,1.3105209397,5.01,7.32,1.4610778443,0.38,1,3,3,13,C,0.58,1,3,3,13,C
106,2,15.92,20.85,1.3096733668,7.89,11.96,1.515842839,0.48,1,6,4,32,C,0.64,1,6,4,32,C
107,2,14.55,19.05,1.3092783505,7.17,11.01,1.5355648536,0.52,1,5,4,23,C,0.73,1,5,4,23,C
108,2,18.67,24.45,1.3095875736,9.41,14.09,1.4973432519,0.44,1,7,5,34,C,0.63,1,7,5,34,C
109,2,9.83,13.18,1.3407934893,4.99,7.67,1.5370741483,0.37,1,3,3,13,C,0.49,1,3,3,13,C
110,2,11.08,15.84,1.4296028881,5.81,10.06,1.7314974182,0.44,1,5,3,22,C,0.56,1,5,3,22,C
111,2,11.57,15.36,1.3275713051,5.76,8.68,1.5069444444,0.37,1,4,3,17,C,0.86,1,4,3,17,C
112,2,16.15,21.82,1.3510835913,7.85,12.8,1.6305732484,0.52,1,6,4,32,C,0.67,1,6,4,32,C
113,2,10.05,14.39,1.431840796,5.31,8.94,1.6836158192,0.46,1,4,3,15,C,0.66,1,4,3,15,C
114,2,8.5,10.72,1.2611764706,4.97,6.97,1.4024144869,0.44,1,3,3,7,C,0.53,1,3,3,7,C
115,2,11.64,15.74,1.352233677,6.01,9.61,1.5990016639,0.46,1,5,3,24,C,0.64,1,5,3,24,C
116,2,12.69,16.53,1.3026004728,6.78,9.89,1.4587020649,0.37,1,4,4,15,C,0.55,1,4,4,15,C
117,2,8.6,9.92,1.1534883721,5.03,6.9,1.3717693837,0.39,1,4,2,18,C,0.53,1,3,2,9,C
118,2,13.7,18.03,1.3160583942,7.34,10.82,1.4741144414,0.45,1,5,4,19,C,0.6,1,5,4,19,C
119,2,8.75,11.41,1.304,4.99,7.07,1.4168336673,0.37,1,3,3,9,C,0.54,1,3,3,9,C
120,2,7.34,10.32,1.4059945504,4.29,6.82,1.5897435897,0.36,1,3,2,11,C,0.55,1,3,2,11,C
121,2,15.09,21.08,1.3969516236,7.7,13.01,1.6896103896,0.46,1,6,4,28,C,0.65,1,6,4,28,C
122,2,16.63,21.29,1.2802164762,8.27,11.97,1.4474002418,0.48,1,5,5,23,C,0.71,1,5,5,23,C
123,2,10.54,13.75,1.3045540797,5.43,7.87,1.4493554328,0.49,1,4,3,17,C,0.66,1,4,3,17,C
124,2,10.89,13.53,1.2424242424,5.58,7.75,1.3888888889,0.54,1,4,3,17,C,0.67,1,4,3,17,C
125,2,7.5,10.5,1.4,4.32,6.93,1.6041666667,0.38,1,3,2,11,C,0.56,1,3,2,11,C
126,2,9.27,12.49,1.3473570658,4.78,7.48,1.5648535565,0.4,1,4,2,22,C,0.67,1,4,2,22,C
127,2,13.95,18.56,1.3304659498,7.3,10.8,1.4794520548,0.46,1,5,4,21,C,0.65,1,5,4,21,C
128,2,10.21,13.47,1.319294809,5.5,7.85,1.4272727273,0.43,1,4,3,15,C,0.69,1,4,3,15,C
129,2,14.57,19.32,1.3260123542,7.31,10.97,1.5006839945,0.55,1,5,4,23,C,0.81,1,5,4,23,C
130,2,16.56,20.75,1.2530193237,8.47,11.96,1.412042503,0.47,1,5,5,21,C,0.69,1,5,5,21,C
131,2,15.01,19.59,1.3051299134,7.84,11.5,1.4668367347,0.47,1,6,4,28,C,0.62,1,6,4,28,C
132,2,19.65,26.01,1.3236641221,9.31,14.86,1.5961331901,0.47,1,7,5,38,C,0.69,1,7,5,38,C
133,2,17.19,22.55,1.3118091914,8.85,13.21,1.4926553672,0.48,1,6,5,25,C,0.58,1,6,5,25,C
134,2,14.08,19.17,1.3615056818,7.18,11.39,1.5863509749,0.47,1,5,4,21,C,0.81,1,5,4,21,C
135,2,15.54,20.44,1.3153153153,7.79,11.89,1.5263157895,0.45,1,6,4,30,C,0.66,1,6,4,30,C
136,2,8.01,10.81,1.3495630462,4.81,7.27,1.5114345114,0.37,1,4,2,16,C,0.58,1,4,2,16,C
137,2,10.53,14.36,1.3637226971,5.31,8.43,1.5875706215,0.38,1,4,3,17,C,0.57,1,4,3,17,C
138,2,7.54,9.78,1.2970822281,4.35,6.24,1.4344827586,0.41,1,3,2,11,C,0.56,1,3,2,11,C
139,2,15.08,19.65,1.3030503979,7.65,11.48,1.5006535948,0.49,1,6,4,28,C,0.65,1,6,4,28,C
140,2,9.79,12.69,1.2962206333,5.04,7.39,1.4662698413,0.34,1,3,3,13,C,0.51,1,3,3,13,C
141,2,9.3,12.28,1.3204301075,4.82,7.26,1.5062240664,0.38,1,4,2,22,C,0.68,1,4,2,22,C
142,2,12.43,15.8,1.2711182623,6.9,9.84,1.4260869565,0.44,1,4,4,13,C,0.49,1,4,4,13,C
143,2,7.18,8.8,1.2256267409,4,5.23,1.3075,0.36,1,2,2,9,C,0.49,1,2,2,9,C
144,2,8.45,10.81,1.2792899408,4.96,6.95,1.4012096774,0.45,1,3,3,7,C,0.48,1,3,3,7,C
145,2,15.67,19.74,1.2597319719,7.8,11.75,1.5064102564,0.61,1,5,4,23,C,0.67,1,5,4,23,C
146,2,15.32,20.04,1.3080939948,7.68,11.42,1.4869791667,0.44,1,6,4,30,C,0.72,1,6,4,30,C
147,2,10.19,14.38,1.4111874387,5.89,9.59,1.6281833616,0.45,1,5,3,18,C,0.55,1,5,3,18,C
148,2,10.12,12.64,1.2490118577,5.03,6.99,1.3896620278,0.38,1,3,3,15,C,0.56,1,3,3,15,C
149,2,6.97,8.88,1.2740315638,3.82,5.27,1.3795811518,0.35,1,2,2,9,C,0.55,1,2,2,9,C
150,2,15.42,20.02,1.2983138781,7.74,11.53,1.4896640827,0.47,1,6,4,30,C,0.68,1,6,4,30,C
151,2,6.19,7.81,1.2617124394,3.94,5.2,1.3197969543,0.34,1,2,2,5,C,0.47,1,2,2,5,C
152,2,10.33,14.15,1.3697967086,5.5,8.61,1.5654545455,0.37,1,4,3,15,C,0.61,1,4,3,15,C
153,2,15.12,20.01,1.3234126984,7.76,11.82,1.5231958763,0.47,1,6,4,28,C,0.56,1,6,4,28,C
154,2,10.56,13.72,1.2992424242,5.41,7.81,1.4436229205,0.48,1,4,3,17,C,0.69,1,4,3,17,C
155,2,8.79,13.25,1.5073947668,4.74,8.7,1.835443038,0.38,1,4,2,20,C,0.59,1,4,2,20,C
156,2,6.07,7.94,1.3080724876,3.82,5.29,1.3848167539,0.35,1,2,2,5,C,0.49,1,2,2,5,C
157,2,13.19,17.58,1.3328278999,6.96,10.53,1.5129310345,0.38,1,4,4,17,C,0.57,1,4,4,17,C
158,2,6.98,9.39,1.3452722063,4.31,6.22,1.4431554524,0.35,1,3,2,9,C,0.58,1,3,2,9,C
159,2,9.73,12.89,1.3247687564,5.39,7.96,1.4768089054,0.46,1,4,3,13,C,0.58,1,4,3,13,C
160,2,10.44,13.97,1.3381226054,5.62,8.58,1.5266903915,0.4,1,4,3,15,C,0.61,1,4,3,15,C
161,2,15.69,21.92,1.3970681963,7.87,13.43,1.706480305,0.43,1,6,4,30,C,0.67,1,6,4,30,C
162,2,7.81,10.83,1.3866837388,4.67,7.3,1.5631691649,0.38,1,4,2,16,C,0.66,1,4,2,16,C
163,2,9.15,11.63,1.2710382514,4.95,6.99,1.4121212121,0.37,1,3,3,11,C,0.54,1,3,3,11,C
164,2,11.26,16.92,1.5026642984,5.61,9.62,1.7147950089,0.35,1,4,3,19,C,0.7,1,5,3,28,C
165,2,8.31,11.91,1.4332129964,4.78,7.93,1.6589958159,0.38,1,4,2,18,C,0.63,1,4,2,18,C
166,2,9.87,12.52,1.2684903749,5.53,7.67,1.3869801085,0.46,1,4,3,13,C,0.55,1,4,3,13,C
167,2,10.31,14.24,1.3811833172,5.6,8.82,1.575,0.46,1,4,3,15,C,0.63,1,4,3,15,C
168,2,14.81,19.06,1.2869682647,7.44,10.93,1.4690860215,0.49,1,5,4,23,C,0.71,1,5,4,23,C
169,2,16.09,21,1.3051584835,7.98,12,1.5037593985,0.46,1,6,4,32,C,0.63,1,6,4,32,C
170,2,16.87,21.44,1.27089508,8.47,12.02,1.4191263282,0.5,1,5,5,23,C,0.76,1,5,5,23,C
171,2,10.68,14.86,1.3913857678,5.96,9.51,1.5956375839,0.45,1,5,3,20,C,0.68,1,5,3,20,C
172,2,10.14,13.3,1.3116370809,5.31,7.97,1.5009416196,0.46,1,4,3,15,C,0.65,1,4,3,15,C
173,2,9.7,13.04,1.3443298969,4.94,7.46,1.5101214575,0.36,1,3,3,13,C,0.54,1,3,3,13,C
174,2,9.5,11.73,1.2347368421,5.17,6.93,1.3404255319,0.39,1,3,3,11,C,0.55,1,3,3,11,C
175,2,19.63,25.33,1.2903718798,9.34,13.98,1.4967880086,0.47,1,7,5,38,C,0.78,1,7,5,38,C
176,2,8.06,12.42,1.540942928,4.38,7.46,1.703196347,0.38,1,3,2,13,C,0.67,1,4,2,22,C
177,2,16.1,20.49,1.2726708075,7.83,11.38,1.4533844189,0.52,1,6,4,32,C,0.72,1,6,4,32,C
178,2,15.18,20.1,1.3241106719,7.78,11.92,1.5321336761,0.45,1,6,4,28,C,0.57,1,6,4,28,C
179,2,6.56,8.51,1.2972560976,3.89,5.33,1.3701799486,0.35,1,2,2,7,C,0.5,1,2,2,7,C
180,2,15.73,21.05,1.3382072473,7.84,12.59,1.6058673469,0.48,1,6,4,30,C,0.7,1,6,4,30,C
181,2,10.61,13.99,1.3185673893,5.44,7.97,1.4650735294,0.49,1,4,3,17,C,0.72,1,4,3,17,C
182,2,8.66,11.48,1.3256351039,4.71,7.12,1.5116772824,0.38,1,4,2,20,C,0.59,1,4,2,20,C
183,2,13.73,17.66,1.2862345229,7.36,10.39,1.4116847826,0.47,1,5,4,19,C,0.63,1,5,4,19,C
184,2,11.04,15.39,1.3940217391,5.83,9.61,1.6483704974,0.51,1,5,3,22,C,0.66,1,5,3,22,C
185,2,14.54,19.49,1.3404401651,7.37,11.33,1.5373134328,0.48,1,5,4,23,C,0.72,1,5,4,23,C
186,2,9.61,12.69,1.3204994797,5.38,7.79,1.4479553903,0.47,1,4,3,13,C,0.58,1,4,3,13,C
187,2,13.2,16.96,1.2848484848,6.99,9.95,1.4234620887,0.39,1,4,4,17,C,0.56,1,4,4,17,C
188,2,8.83,11.9,1.3476783692,4.74,7.38,1.5569620253,0.37,1,4,2,20,C,0.56,1,4,2,20,C
189,2,10.56,13.69,1.2964015152,5.41,7.88,1.4565619224,0.48,1,4,3,17,C,0.66,1,4,3,17,C
190,2,8.86,11.95,1.348758465,4.81,7.47,1.553014553,0.39,1,4,2,20,C,0.6,1,4,2,20,C
191,2,10.63,13.97,1.31420508,5.45,8.02,1.471559633,0.5,1,4,3,17,C,0.67,1,4,3,17,C
192,2,11.25,15.39,1.368,6,9.56,1.5933333333,0.37,1,5,3,22,C,0.55,1,5,3,22,C
193,2,10.56,15.25,1.4441287879,5.41,9.29,1.7171903882,0.35,1,4,3,17,C,0.57,1,4,3,17,C
194,2,7.57,9.95,1.3143989432,4.32,6.23,1.4421296296,0.38,1,3,2,11,C,0.58,1,3,2,11,C
195,2,17.2,22.36,1.3,8.81,12.87,1.4608399546,0.45,1,6,5,25,C,0.61,1,6,5,25,C
196,2,11.35,14.86,1.3092511013,6.06,9.01,1.4867986799,0.5,1,5,3,22,C,0.67,1,5,3,22,C
197,2,7.92,10.82,1.3661616162,4.82,7.26,1.5062240664,0.37,1,4,2,16,C,0.54,1,4,2,16,C
198,2,6.49,9.12,1.405238829,3.84,5.98,1.5572916667,0.35,1,2,2,7,C,0.5,1,2,2,7,C
199,2,12.01,16.23,1.3513738551,5.87,9.44,1.6081771721,0.4,1,5,3,26,C,0.59,1,5,3,26,C
200,2,7.12,8.85,1.2429775281,3.89,5.32,1.3676092545,0.38,1,2,2,9,C,0.53,1,2,2,9,C
