Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,,Planning Time - zooming,Planning Time non_zooming,,Inferring Time - zooming,# Abstract Plans - zooming,# Refined Plans - zooming,# Abstract Actions - zooming,# Refined Actions - zooming,Complete Run - zooming,Inferring Time - non_zooming,# Abstract Plans non_zooming,# Refined Plans non_zooming,# Abstract Actions non_zooming,# Refined Actions non_zooming,Complete Run - non_zooming
31,1,8.12,8.34,1.0270935961,4.83,4.99,1.033126294,0.34,1,3,3,9,C,0.36,1,3,3,9,C
32,1,9.07,9.18,1.0121278942,5.3,5.53,1.0433962264,0.39,1,4,3,13,C,0.35,1,4,3,13,C
33,1,8.95,9.11,1.017877095,5.21,5.41,1.0383877159,0.37,1,4,3,13,C,0.36,1,4,3,13,C
34,1,6.43,6.8,1.0575427683,4.12,4.42,1.072815534,0.35,1,3,2,9,C,0.36,1,3,2,9,C
35,1,6.13,6.32,1.030995106,3.75,3.93,1.048,0.37,1,2,2,7,C,0.35,1,2,2,7,C
36,1,9.48,9.58,1.0105485232,5.31,5.5,1.0357815443,0.4,1,4,3,15,C,0.41,1,4,3,15,C
37,1,9.34,9.54,1.0214132762,5.18,5.37,1.0366795367,0.38,1,4,3,15,C,0.37,1,4,3,15,C
38,1,9.36,9.38,1.0021367521,5.18,5.32,1.027027027,0.39,1,4,3,15,C,0.4,1,4,3,15,C
39,1,9.36,9.51,1.016025641,5.29,5.47,1.034026465,0.4,1,4,3,15,C,0.38,1,4,3,15,C
40,1,9.08,9.25,1.018722467,5.29,5.45,1.0302457467,0.42,1,4,3,13,C,0.38,1,4,3,13,C
41,1,7.76,7.88,1.0154639175,4.75,4.92,1.0357894737,0.38,1,3,3,7,C,0.34,1,3,3,7,C
42,1,8.99,9.2,1.0233592881,5.29,5.48,1.0359168242,0.36,1,4,3,13,C,0.35,1,4,3,13,C
43,1,8.93,9.24,1.0347144457,5.12,5.46,1.06640625,0.41,1,4,3,13,C,0.35,1,4,3,13,C
44,1,9.53,9.62,1.0094438615,5.36,5.45,1.0167910448,0.41,1,4,3,15,C,0.4,1,4,3,15,C
45,1,6.54,6.69,1.0229357798,4.16,4.36,1.0480769231,0.36,1,3,2,9,C,0.35,1,3,2,9,C
46,1,5.76,5.93,1.0295138889,3.75,3.95,1.0533333333,0.34,1,2,2,5,C,0.36,1,2,2,5,C
47,1,8.15,8.41,1.0319018405,4.8,5.07,1.05625,0.37,1,3,3,9,C,0.37,1,3,3,9,C
48,1,9.28,9.52,1.025862069,5.15,5.39,1.0466019417,0.39,1,4,3,15,C,0.42,1,4,3,15,C
49,1,6.3,6.72,1.0666666667,3.95,4.31,1.0911392405,0.34,1,3,2,9,C,0.37,1,3,2,9,C
50,1,6.06,6.18,1.0198019802,3.68,3.82,1.0380434783,0.32,1,2,2,7,C,0.36,1,2,2,7,C
51,1,9.02,9.19,1.0188470067,5.21,5.49,1.0537428023,0.39,1,4,3,13,C,0.36,1,4,3,13,C
52,1,6.51,6.54,1.0046082949,4.04,4.16,1.0297029703,0.37,1,3,2,9,C,0.39,1,3,2,9,C
53,1,5.64,5.94,1.0531914894,3.63,3.94,1.085399449,0.33,1,2,2,5,C,0.34,1,2,2,5,C
54,1,9.01,9.35,1.0377358491,5.3,5.58,1.0528301887,0.39,1,4,3,13,C,0.37,1,4,3,13,C
55,1,7.88,8.01,1.0164974619,4.85,5.05,1.0412371134,0.35,1,3,3,7,C,0.32,1,3,3,7,C
56,1,5.68,5.77,1.0158450704,3.71,3.75,1.0107816712,0.33,1,2,2,5,C,0.34,1,2,2,5,C
57,1,9.47,9.59,1.0126715945,5.37,5.52,1.0279329609,0.39,1,4,3,15,C,0.35,1,4,3,15,C
58,1,8.9,9.15,1.0280898876,5.15,5.45,1.0582524272,0.37,1,4,3,13,C,0.36,1,4,3,13,C
59,1,5.77,5.89,1.020797227,3.77,3.85,1.0212201592,0.35,1,2,2,5,C,0.37,1,2,2,5,C
60,1,6.93,6.95,1.0028860029,4.09,4.3,1.0513447433,0.34,1,3,2,11,C,0.34,1,3,2,11,C
61,1,7.79,7.99,1.0256739409,4.8,5.02,1.0458333333,0.37,1,3,3,7,C,0.36,1,3,3,7,C
62,1,5.74,5.92,1.031358885,3.77,3.92,1.0397877984,0.33,1,2,2,5,C,0.35,1,2,2,5,C
63,1,9.09,9.34,1.0275027503,5.32,5.55,1.0432330827,0.4,1,4,3,13,C,0.37,1,4,3,13,C
