Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming,,
34,4,44.03,70.25,1.6,25.87,71.42,2.76,1,1,1,5,0,0,8,0,0,45,0,0,C,A,3.23375,#DIV/0!
35,4,18.88,85.6,4.53,12.86,86.86,6.76,1,1,1,2,0,0,5,0,0,17,0,0,C,A,2.572,#DIV/0!
36,4,31.15,40.87,1.31,20.21,41.94,2.08,1,1,1,4,0,0,7,1,0.14,31,0,0,C,A,2.8871428571,41.94
37,4,36.71,21.07,0.57,21.76,22.15,1.02,1,1,1,5,0,0,7,1,0.14,39,0,0,C,A,3.1085714286,22.15
38,4,22.39,20.02,0.89,14.34,21.19,1.48,1,1,1,3,0,0,6,1,0.17,23,0,0,C,A,2.39,21.19
39,4,29.97,18.3,0.61,20.06,19.42,0.97,1,1,1,2,0,0,6,1,0.17,27,0,0,C,A,3.3433333333,19.42
40,4,16.64,69.6,4.18,12.41,70.68,5.69,1,1,1,3,0,0,3,1,0.33,15,0,0,C,A,4.1366666667,70.68
41,4,39.77,21.35,0.54,24.93,22.41,0.9,1,1,1,6,0,0,6,1,0.17,41,0,0,C,A,4.155,22.41
42,4,30.16,38.22,1.27,20.47,39.29,1.92,1,1,1,5,0,0,5,1,0.2,29,0,0,C,A,4.094,39.29
43,4,42.44,117.97,2.78,26.39,119.03,4.51,1,1,1,5,0,0,9,1,0.11,43,0,0,C,A,2.9322222222,119.03
44,4,21.72,23.93,1.1,13.84,24.98,1.81,1,1,1,3,0,0,4,1,0.25,23,0,0,C,A,3.46,24.98
45,4,15.04,30.07,2,11.78,31.17,2.65,1,1,1,3,0,0,4,1,0.25,13,0,0,C,A,2.945,31.17
46,4,19.11,115.25,6.03,12.93,116.34,8.99,1,1,1,3,0,0,4,1,0.25,19,0,0,C,A,3.2325,116.34
47,4,61.97,30.51,0.49,36.34,31.67,0.87,1,1,1,7,0,0,11,1,0.09,65,0,0,C,A,3.3036363636,31.67
48,4,21.49,47.53,2.21,13.87,48.64,3.51,1,1,1,3,0,0,3,1,0.33,23,0,0,C,A,4.6233333333,48.64
49,4,39.79,21.55,0.54,26.07,22.62,0.87,1,1,1,6,0,0,6,1,0.17,39,0,0,C,A,4.345,22.62
50,4,34.4,27.62,0.8,21.32,28.76,1.35,1,1,1,5,0,0,5,1,0.2,37,0,0,C,A,4.264,28.76
51,4,36.66,22.57,0.62,21.72,23.69,1.09,1,1,1,5,0,0,5,1,0.2,37,0,0,C,A,4.344,23.69
52,4,21.01,20.3,0.97,14.65,21.38,1.46,1,1,1,3,0,0,6,1,0.17,19,0,0,C,A,2.4416666667,21.38
53,4,30.95,63.43,2.05,18.98,64.59,3.4,1,1,1,4,0,0,5,1,0.2,31,0,0,C,A,3.796,64.59
54,4,26.33,47.24,1.79,17.27,48.38,2.8,1,1,1,4,0,0,5,1,0.2,27,0,0,C,A,3.454,48.38
55,4,55.49,39.75,0.72,33.67,40.84,1.21,1,1,1,8,0,0,8,1,0.12,59,0,0,C,A,4.20875,40.84
56,4,43.41,43.77,1.01,26.18,44.9,1.72,1,1,1,6,0,0,8,1,0.12,47,0,0,C,A,3.2725,44.9
57,4,28.76,195.41,6.8,19.87,196.45,9.89,1,1,1,5,0,0,5,1,0.2,27,0,0,C,A,3.974,196.45
58,4,28.71,69.53,2.42,17.77,70.58,3.97,1,1,1,4,0,0,4,1,0.25,31,0,0,C,A,4.4425,70.58
59,4,59.87,21.78,0.36,34.59,22.87,0.66,1,1,1,7,0,0,11,1,0.09,65,0,0,C,A,3.1445454545,22.87
60,4,21.37,19.78,0.93,14.92,20.86,1.4,1,1,1,3,0,0,7,1,0.14,19,0,0,C,A,2.1314285714,20.86
61,4,34.88,44.59,1.28,21.41,45.66,2.13,1,1,1,5,0,0,7,1,0.14,37,0,0,C,A,3.0585714286,45.66
62,4,21.71,115.08,5.3,13.82,116.17,8.41,1,1,1,3,0,0,4,1,0.25,23,0,0,C,A,3.455,116.17
63,4,52.54,116.39,2.22,30.19,117.5,3.89,1,1,1,6,0,0,9,1,0.11,57,0,0,C,A,3.3544444444,117.5
64,4,18.56,27.26,1.47,13.51,28.32,2.1,1,1,1,3,0,0,6,1,0.17,17,0,0,C,A,2.2516666667,28.32
65,4,25.61,18.78,0.73,16.13,19.84,1.23,1,1,1,3,0,0,6,1,0.17,27,0,0,C,A,2.6883333333,19.84
66,4,22,18.15,0.82,15.05,19.3,1.28,1,1,1,3,0,0,6,1,0.17,21,0,0,C,A,2.5083333333,19.3
67,4,50.49,373.2,7.39,29.69,374.33,12.61,1,1,1,6,0,0,10,1,0.1,53,0,0,C,A,2.969,374.33
68,4,29.15,62.36,2.14,18.05,63.47,3.52,1,1,1,4,0,0,6,1,0.17,31,0,0,C,A,3.0083333333,63.47
69,4,33.28,20.85,0.63,20.48,21.95,1.07,1,1,1,4,0,0,8,1,0.12,35,0,0,C,A,2.56,21.95
70,4,42.52,54.86,1.29,26.38,56,2.12,1,1,1,6,0,0,8,1,0.12,45,0,0,C,A,3.2975,56
71,4,40.34,21.04,0.52,23.76,22.19,0.93,1,1,1,5,0,0,8,1,0.12,43,0,0,C,A,2.97,22.19
72,4,23.11,23.73,1.03,14.63,24.73,1.69,1,1,1,3,0,0,6,1,0.17,23,0,0,C,A,2.4383333333,24.73
73,4,28.23,86.32,3.06,18.08,87.41,4.83,1,1,1,4,0,0,5,1,0.2,29,0,0,C,A,3.616,87.41
74,4,59.08,63.61,1.08,33.67,64.72,1.92,1,1,1,7,0,0,10,1,0.1,65,0,0,C,A,3.367,64.72
75,4,7.74,32.22,4.16,7.88,33.29,4.22,1,1,1,2,0,0,2,1,0.5,5,0,0,C,A,3.94,33.29
76,4,21.65,123.31,5.7,13.56,124.39,9.17,1,1,1,3,0,0,3,1,0.33,23,0,0,C,A,4.52,124.39
77,4,24.51,64.52,2.63,16.64,65.6,3.94,1,1,1,4,0,0,4,1,0.25,23,0,0,C,A,4.16,65.6
78,4,19.27,196.61,10.2,12.55,197.65,15.75,1,1,1,3,0,0,3,1,0.33,21,0,0,C,A,4.1833333333,197.65
79,4,29.09,62.93,2.16,17.91,63.93,3.57,1,1,1,4,0,0,5,1,0.2,31,0,0,C,A,3.582,63.93
80,4,33.51,115.69,3.45,19.94,116.79,5.86,1,1,1,4,0,0,7,1,0.14,37,0,0,C,A,2.8485714286,116.79
81,4,34.26,62.97,1.84,20.78,64.03,3.08,1,1,1,5,0,0,6,1,0.17,37,0,0,C,A,3.4633333333,64.03
82,4,20.85,26.13,1.25,15.03,27.19,1.81,1,1,1,4,0,0,4,1,0.25,19,0,0,C,A,3.7575,27.19
83,4,35.79,61.28,1.71,22.86,62.3,2.72,1,1,1,5,0,0,9,1,0.11,37,0,0,C,A,2.54,62.3
84,4,40.97,34.1,0.83,24.99,35.22,1.41,1,1,1,6,0,0,7,1,0.14,43,0,0,C,A,3.57,35.22
85,4,44.21,21.2,0.48,25.58,22.27,0.87,1,1,1,6,0,0,8,1,0.12,49,0,0,C,A,3.1975,22.27
86,4,68.46,24.42,0.36,39.34,25.51,0.65,1,1,1,8,0,0,12,1,0.08,75,0,0,C,A,3.2783333333,25.51
87,4,37.49,36.45,0.97,23.79,37.47,1.58,1,1,1,6,0,0,6,1,0.17,39,0,0,C,A,3.965,37.47
88,4,31.53,62.21,1.97,18.89,63.3,3.35,1,1,1,4,0,0,7,1,0.14,35,0,0,C,A,2.6985714286,63.3
89,4,38.13,21.34,0.56,23.83,22.35,0.94,1,1,1,6,0,0,6,1,0.17,41,0,0,C,A,3.9716666667,22.35
90,4,37.7,68.74,1.82,21.71,69.8,3.22,1,1,1,4,0,0,6,1,0.17,31,0,0,C,A,3.6183333333,69.8
91,4,30.94,20.86,0.67,20.02,21.97,1.1,1,1,1,5,0,0,5,1,0.2,31,0,0,C,A,4.004,21.97
92,4,19.67,61.82,3.14,12.74,62.88,4.93,1,1,1,3,0,0,5,1,0.2,21,0,0,C,A,2.548,62.88
93,4,39.23,90.43,2.3,25.28,91.52,3.62,1,1,1,4,0,0,8,1,0.12,37,0,0,C,A,3.16,91.52
94,4,21.68,59.76,2.76,13.93,60.87,4.37,1,1,1,3,0,0,4,1,0.25,23,0,0,C,A,3.4825,60.87
95,4,49.35,98.92,2,30.43,100.01,3.29,1,1,1,7,0,0,8,1,0.12,51,0,0,C,A,3.80375,100.01
96,4,42.89,116.67,2.72,26.23,117.87,4.49,1,1,1,6,0,0,6,0,0,45,0,0,C,A,4.3716666667,#DIV/0!
97,4,36.3,52.36,1.44,21.45,53.51,2.49,1,1,1,4,0,0,7,1,0.14,39,0,0,C,A,3.0642857143,53.51
98,4,36.07,27.54,0.76,22.71,28.72,1.26,1,1,1,5,0,0,8,1,0.12,37,0,0,C,A,2.83875,28.72
99,4,21.25,37.19,1.75,15.56,38.3,2.46,1,1,1,4,0,0,4,1,0.25,19,0,0,C,A,3.89,38.3
