Trial Number,Complexity Level,Run-time zooming,Run-time non_zooming,Run-time Ratio,Planning Time - zooming,Planning Time - non_zooming,Planning Time - Ratio,# Abstract Plans - zooming,# Abstract Plans - non_zooming,# Abstract Plans - Ratio,# Abstract Actions - zooming,# Abstract Actions - non_zooming,# Abstract Actions - Ratio,# Refined Plans - zooming,# Refined Plans - non_zooming,# Refined Plans - Ratio,# Refined Actions - zooming,# Refined Actions - non_zooming,# Refined Actions - Ratio,Complete Run - zooming,Complete Run - non_zooming
167,4,43.97,301.01,6.85,24.80,248.33,10.02,1,1,1.00,4,0,0.00,9,0,0.00,35,0,0.00,C,T
168,4,23.05,104.59,4.54,14.27,104.58,7.33,1,1,1.00,3,0,0.00,4,1,0.25,17,0,0.00,C,A
169,4,61.98,301.01,4.86,37.39,4.34,0.12,1,1,1.00,8,0,0.00,11,0,0.00,45,0,0.00,C,T
170,4,29.09,196.11,6.74,16.78,196.09,11.69,1,1,1.00,3,0,0.00,6,0,0.00,23,0,0.00,C,A
171,4,30.31,55.49,1.83,17.83,55.48,3.11,1,1,1.00,4,0,0.00,6,1,0.17,23,0,0.00,C,A
172,4,38.02,92.46,2.43,22.13,92.45,4.18,1,1,1.00,5,0,0.00,7,1,0.14,29,0,0.00,C,A
173,4,42.04,196.91,4.68,23.16,196.90,8.50,1,1,1.00,5,0,0.00,7,0,0.00,35,0,0.00,C,A
174,4,37.31,301.01,8.07,21.71,2.98,0.14,1,1,1.00,5,0,0.00,7,0,0.00,29,0,0.00,C,T
175,4,25.49,33.33,1.31,15.61,33.32,2.13,1,1,1.00,4,0,0.00,4,1,0.25,19,0,0.00,C,A
176,4,57.73,34.14,0.59,32.06,34.13,1.06,1,1,1.00,7,0,0.00,10,1,0.10,47,0,0.00,C,A
177,4,38.83,104.89,2.70,21.88,104.88,4.79,1,1,1.00,4,0,0.00,9,1,0.11,31,0,0.00,C,A
178,4,44.60,105.79,2.37,25.74,105.78,4.11,1,1,1.00,6,0,0.00,7,0,0.00,35,0,0.00,C,A
179,4,53.80,301.01,5.60,31.84,3.42,0.11,1,1,1.00,6,0,0.00,10,0,0.00,41,0,0.00,C,T
180,4,51.81,106.41,2.05,29.29,106.40,3.63,1,1,1.00,7,0,0.00,8,0,0.00,41,0,0.00,C,A
181,4,23.07,107.11,4.64,13.97,107.10,7.67,1,1,1.00,3,0,0.00,5,1,0.20,17,0,0.00,C,A
182,4,36.17,33.45,0.92,20.47,33.44,1.63,1,1,1.00,4,0,0.00,8,1,0.12,29,0,0.00,C,A
183,4,51.74,33.84,0.65,29.91,33.83,1.13,1,1,1.00,6,0,0.00,11,1,0.09,41,0,0.00,C,A
184,4,12.40,288.91,23.30,9.07,288.89,31.85,1,1,1.00,2,0,0.00,2,1,0.50,7,0,0.00,C,A
185,4,22.01,104.21,4.74,12.68,104.20,8.22,1,1,1.00,3,0,0.00,3,0,0.00,17,0,0.00,C,A
